Sharma Enterprises Private Limited
Purchase Register for the period 2025-10
GSTIN: 27AAACB2894G1ZP

Supplier Name,GSTIN,Invoice No,Invoice Date,Taxable Value,CGST,SGST,IGST,Cess,Doc Type,ITC Eligible,Nature of Supply
Mahesh Steel Traders,27AAPFM4821K1ZV,S01/2025/011,25/10/2025,477000,42930,42930,0,0,Invoice,Yes,
Mahesh Steel Traders,27AAPFM4821K1ZV,S01/2025/012,02/10/2025,488000,43920,43920,0,0,Invoice,Yes,
Mahesh Steel Traders,27AAPFM4821K1ZV,S01/2025/013,2025-10-15,492000,44280,44280,0,0,Invoice,Yes,
Precision Components Pvt Ltd,29AADCP7712H1Z9,S02/2025/011,02/10/2025,"2,67,000",0,0,"48,060",0,Invoice,Yes,
Precision Components Pvt Ltd,29AADCP7712H1Z9,S02/2025/012,04/10/2025,274000,0,0,49320,0,Invoice,Yes,
Kaveri Packaging,29AAKFK3390B1ZB,S03/2025/011,02/10/2025,107000,0,0,19260,0,Invoice,Yes,
Kaveri Packaging,29AAKFK3390B1ZB,S03/2025/012,15/10/2025,114000,0,0,20520,0,Invoice,Yes,
Deccan Freight Carriers,36AAECD5567L1Z7,S04/2025/011,03/10/2025,103000,0,0,18540,0,Invoice,Yes,
Deccan Freight Carriers,36AAECD5567L1Z7,S04/2025/012,23/10/2025,95000,0,0,17100,0,Invoice,Yes,
Anand Polymers,24AAGCA1188M1ZI,S05/2025/011,2025-10-02,308000,0,0,55440,0,Invoice,Yes,
Anand Polymers,24AAGCA1188M1ZI,S05/2025/012,14/10/2025,"3,06,000",0,0,"55,080",0,Invoice,Yes,
Anand Polymers,24AAGCA1188M1ZI,S05/2025/013,08/10/2025,320000,0,0,57600,0,Invoice,Yes,
Surya Electricals,27AABFS9034J1ZY,S06/2025/011,16/10/2025,143000,12870,12870,0,0,Invoice,Yes,
Surya Electricals,27AABFS9034J1ZY,S06/2025/012,08/10/2025,152000,13680,13680,0,0,Invoice,Yes,
Nilkanth Traders,27AAJFN2276C1ZC,S07/2025/011,24/10/2025,204000,18360,18360,0,0,Invoice,Yes,
Nilkanth Traders,27AAJFN2276C1ZC,S07/2025/012,10/10/2025,213000,19170,19170,0,0,Invoice,Yes,
Ratna Chemicals,24AAECR8890P1ZI,S08/2025/011,03/10/2025,184000,0,0,33120,0,Invoice,Yes,
Ratna Chemicals,24AAECR8890P1ZI,S08/2025/012,17/10/2025,"1,87,000",0,0,"33,660",0,Invoice,Yes,
Metro Motors,27AAACM6543N1Z3,S09/2025/011,19/10/2025,886000,79740,79740,0,0,Invoice,No,Blocked u/s 17(5) - motor vehicle purchase
Vindhya Alloys,23AAFCV4412Q1Z3,S10/2025/011,13/10/2025,271000,0,0,48780,0,Invoice,Yes,
Vindhya Alloys,23AAFCV4412Q1Z3,S10/2025/012,21/10/2025,266000,0,0,47880,0,Invoice,Yes,
Bharat Office Supplies,27AAFCB2210G1Z8,S12/2025/011,26/10/2025,167000,15030,15030,0,0,Invoice,Yes,
Bharat Office Supplies,27AAFCB2210G1Z8,S12/2025/012,04/10/2025,158000,14220,14220,0,0,Invoice,Yes,
Konkan Hardware,27AAGFK5561R1ZL,S13/2025/011,14/10/2025,83000,7470,7470,0,0,Invoice,Yes,
Trident Paper Mills,24AAACT3398E1ZE,S14/2025/011,13/10/2025,"1,15,000",0,0,"20,700",0,Invoice,Yes,
Lakshmi Fasteners,33AAJFL7745T1ZE,S15/2025/011,16/10/2025,41000,0,0,7380,0,Invoice,Yes,
Lakshmi Fasteners,33AAJFL7745T1ZE,S15/2025/012,19/10/2025,43000,0,0,7740,0,Invoice,Yes,
Lakshmi Fasteners,33AAJFL7745T1ZE,S15/2025/013,21/10/2025,40000,0,0,7200,0,Invoice,Yes,
Orion Software Services,29AAECO9912W1Z8,S16/2025/011,15/10/2025,58000,0,0,10440,0,Invoice,Yes,
Orion Software Services,29AAECO9912W1Z8,S16/2025/012,18/10/2025,49000,0,0,8820,0,Invoice,Yes,
Ganga Textiles,09AAHFG4423Y1ZH,S17/2025/011,16/10/2025,53000,0,0,9540,0,Invoice,Yes,
Pinnacle Safety Gear,27AAKFP6678U1ZU,S18/2025/011,08/10/2025,"1,47,000","13,230","13,230",0,0,Invoice,Yes,
Pinnacle Safety Gear,27AAKFP6678U1ZU,S18/2025/012,17/10/2025,146000,13140,13140,0,0,Invoice,Yes,
Pinnacle Safety Gear,27AAKFP6678U1ZU,S18/2025/013,24/10/2025,138000,12420,12420,0,0,Invoice,Yes,
Sundar Printing Works,33AABFS2234V1ZT,S19/2025/011,04/10/2025,95000,0,0,17100,0,Invoice,Yes,
Sundar Printing Works,33AABFS2234V1ZT,S19/2025/012,09/10/2025,99000,0,0,17820,0,Invoice,Yes,
Ashoka Civil Works,27AAFCA8801X1ZT,S20/2025/011,07/10/2025,115000,10350,10350,0,0,Invoice,Yes,
Ashoka Civil Works,27AAFCA8801X1ZT,S20/2025/012,21/10/2025,112000,10080,10080,0,0,Invoice,Yes,
Nova Instruments,29AADCN3345Z1ZD,S21/2025/011,12/10/2025,"1,55,000",0,0,"27,900",0,Invoice,Yes,
Nova Instruments,29AADCN3345Z1ZD,S21/2025/012,25/10/2025,176000,0,0,31680,0,Invoice,Yes,
Nova Instruments,29AADCN3345Z1ZD,S21/2025/013,03/10/2025,176000,0,0,31680,0,Invoice,Yes,
Meridian Housekeeping,27AAGFM1167A1ZO,S22/2025/011,02/10/2025,182000,16380,16380,0,0,Invoice,Yes,
Coral Adhesives,24AAECC7789B1ZM,S23/2025/011,09/10/2025,161000,0,0,28980,0,Invoice,Yes,
Yamuna Agro Products,09AAJFY5523C1Z3,S24/2025/011,06/10/2025,122000,0,0,21960,0,Invoice,Yes,
Yamuna Agro Products,09AAJFY5523C1Z3,S24/2025/012,06/10/2025,126000,0,0,22680,0,Invoice,Yes,
Yamuna Agro Products,09AAJFY5523C1Z3,S24/2025/013,19/10/2025,"1,44,000",0,0,"25,920",0,Invoice,Yes,
Zenith Tooling,27AABCZ9934D1Z1,S25/2025/011,24/10/2025,47000,4230,4230,0,0,Invoice,Yes,
Grand Total,,,,8805000,391500,391500,801900,0,,,
