Sharma Enterprises Private Limited
Purchase Register for the period 2026-03
GSTIN: 27AAACB2894G1ZP

Supplier Name,GSTIN,Invoice No,Invoice Date,Taxable Value,CGST,SGST,IGST,Cess,Doc Type,ITC Eligible,Nature of Supply
Mahesh Steel Traders,27AAPFM4821K1ZV,S01/2026/061,11/03/2026,489000,44010,44010,0,0,Invoice,Yes,
Mahesh Steel Traders,27AAPFM4821K1ZV,S01/2026/062,03/03/2026,470000,42300,42300,0,0,Invoice,Yes,
Mahesh Steel Traders,27AAPFM4821K1ZV,S01/2026/063,2026-03-07,472000,42480,42480,0,0,Invoice,Yes,
Precision Components Pvt Ltd,29AADCP7712H1Z9,S02/2026/061,15/03/2026,"2,73,000",0,0,"49,140",0,Invoice,Yes,
Precision Components Pvt Ltd,29AADCP7712H1Z9,S02/2026/062,20/03/2026,275000,0,0,49500,0,Invoice,Yes,
Kaveri Packaging,29AAKFK3390B1ZB,S03/2026/061,17/03/2026,108000,0,0,19440,0,Invoice,Yes,
Kaveri Packaging,29AAKFK3390B1ZB,S03/2026/062,16/03/2026,109000,0,0,19620,0,Invoice,Yes,
Deccan Freight Carriers,36AAECD5567L1Z7,S04/2026/061,23/03/2026,86000,0,0,15480,0,Invoice,Yes,
Deccan Freight Carriers,36AAECD5567L1Z7,S04/2026/062,20/03/2026,87000,0,0,15660,0,Invoice,Yes,
Anand Polymers,24AAGCA1188M1ZI,S05/2026/061,2026-03-08,303000,0,0,54540,0,Invoice,Yes,
Anand Polymers,24AAGCA1188M1ZI,S05/2026/062,23/03/2026,"3,17,000",0,0,"57,060",0,Invoice,Yes,
Anand Polymers,24AAGCA1188M1ZI,S05/2026/063,09/03/2026,322000,0,0,57960,0,Invoice,Yes,
Surya Electricals,27AABFS9034J1ZY,S06/2026/061,03/03/2026,132000,11880,11880,0,0,Invoice,Yes,
Surya Electricals,27AABFS9034J1ZY,S06/2026/062,15/03/2026,145000,13050,13050,0,0,Invoice,Yes,
Nilkanth Traders,27AAJFN2276C1ZC,S07/2026/061,25/03/2026,206000,18540,18540,0,0,Invoice,Yes,
Nilkanth Traders,27AAJFN2276C1ZC,S07/2026/062,20/03/2026,209000,18810,18810,0,0,Invoice,Yes,
Ratna Chemicals,24AAECR8890P1ZI,S08/2026/061,10/03/2026,188000,0,0,33840,0,Invoice,Yes,
Ratna Chemicals,24AAECR8890P1ZI,S08/2026/062,19/03/2026,"1,84,000",0,0,"33,120",0,Invoice,Yes,
