GSTIN,Invoice No,Invoice Date,Value,Action,Date of Action,Remark,Record Type
27AAPFM4821K1ZV,S01/2026/063,07/03/2026,556960,Accept,13/04/2026,,Invoice
29AADCP7712H1Z9,S02/2026/061,15/03/2026,322140,Reject,12/04/2026,Rejected in IMS - PO number not quoted on invoice,Invoice
29AADCP7712H1Z9,S02/2026/062,20/03/2026,324500,Reject,12/04/2026,Rejected in IMS - PO number not quoted on invoice,Invoice
29AAKFK3390B1ZB,S03/2026/041,22/01/2026,129800,Accept,13/04/2026,,Invoice
29AAKFK3390B1ZB,S03/2026/042,18/01/2026,126260,Accept,13/04/2026,,Invoice
29AAKFK3390B1ZB,S03/2026/051,05/02/2026,134520,Accept,13/04/2026,,Invoice
29AAKFK3390B1ZB,S03/2026/052,18/02/2026,149860,Accept,13/04/2026,,Invoice
29AAKFK3390B1ZB,S03/2026/061,17/03/2026,127440,No Action,//,,Invoice
29AAKFK3390B1ZB,S03/2026/062,16/03/2026,128620,Accept,13/04/2026,,Invoice
27AAJFN2276C1ZC,S07/2026/061,25/03/2026,243080,Accept,13/04/2026,,Invoice
27AAJFN2276C1ZC,S07/2026/062,20/03/2026,246620,Accept,13/04/2026,,Invoice
24AAECR8890P1ZI,S08/2026/061,10/03/2026,221840,Accept,13/04/2026,,Invoice
24AAECR8890P1ZI,S08/2026/062,19/03/2026,217120,Accept,13/04/2026,,Invoice
27AAHFS1129D1ZH,S11/2026/061,15/03/2026,95580,No Action,//,,Invoice
27AAHFS1129D1ZH,S11/2026/062,13/03/2026,89680,No Action,//,,Invoice
27AAFCB2210G1Z8,S12/2026/061,06/03/2026,186440,Accept,13/04/2026,,Invoice
27AAFCB2210G1Z8,S12/2026/062,04/03/2026,185260,Accept,13/04/2026,,Invoice
27AAGFK5561R1ZL,S13/2026/061,07/03/2026,74340,Accept,13/04/2026,,Invoice
24AAACT3398E1ZE,S14/2026/061,17/03/2026,151040,Accept,13/04/2026,,Invoice
33AAJFL7745T1ZE,S15/2026/061,06/03/2026,38940,Accept,13/04/2026,,Invoice
33AAJFL7745T1ZE,S15/2026/062,06/03/2026,48380,Accept,13/04/2026,,Invoice
33AAJFL7745T1ZE,S15/2026/063,05/03/2026,48380,Accept,13/04/2026,,Invoice
29AAECO9912W1Z8,S16/2026/061,08/03/2026,82600,Accept,13/04/2026,,Invoice
29AAECO9912W1Z8,S16/2026/062,25/03/2026,61360,No Action,//,,Invoice
09AAHFG4423Y1ZH,S17/2026/061,23/03/2026,51920,Accept,13/04/2026,,Invoice
27AAKFP6678U1ZU,S18/2026/061,11/03/2026,172280,Accept,13/04/2026,,Invoice
27AAKFP6678U1ZU,S18/2026/062,17/03/2026,154580,No Action,//,,Invoice
27AAKFP6678U1ZU,S18/2026/063,10/03/2026,148680,Accept,13/04/2026,,Invoice
33AABFS2234V1ZT,S19/2026/061,10/03/2026,107380,Accept,13/04/2026,,Invoice
33AABFS2234V1ZT,S19/2026/062,16/03/2026,109740,No Action,//,,Invoice
27AAFCA8801X1ZT,S20/2026/061,14/03/2026,145140,Accept,13/04/2026,,Invoice
27AAFCA8801X1ZT,S20/2026/062,23/03/2026,136880,Accept,13/04/2026,,Invoice
29AADCN3345Z1ZD,S21/2026/062,16/03/2026,193520,No Action,//,,Invoice
29AADCN3345Z1ZD,S21/2026/063,13/03/2026,186440,No Action,//,,Invoice
27AAGFM1167A1ZO,S22/2026/051,19/02/2026,195880,No Action,//,,Invoice
27AAGFM1167A1ZO,S22/2026/061,23/03/2026,214760,No Action,//,,Invoice
24AAECC7789B1ZM,S23/2026/061,26/03/2026,182900,Accept,13/04/2026,,Invoice
09AAJFY5523C1Z3,S24/2026/061,15/03/2026,151040,Accept,13/04/2026,,Invoice
09AAJFY5523C1Z3,S24/2026/062,14/03/2026,147500,Accept,13/04/2026,,Invoice
09AAJFY5523C1Z3,S24/2026/063,23/03/2026,143960,Accept,13/04/2026,,Invoice
27AABCZ9934D1Z1,S25/2026/061,26/03/2026,41300,Accept,13/04/2026,,Invoice
