GSTIN,Invoice No,Invoice Date,Value,Action,Date of Action,Remark,Record Type
27AAPFM4821K1ZV,S01/2025/001,14/09/2025,572300,Accept,13/12/2025,,Invoice
27AAPFM4821K1ZV,S01/2025/021,16/11/2025,552240,Accept,13/12/2025,,Invoice
29AADCP7712H1Z9,S02/2025/021,11/11/2025,322140,Reject,12/12/2025,Rejected in IMS - PO number not quoted on invoice,Invoice
29AADCP7712H1Z9,S02/2025/022,24/11/2025,311520,Reject,12/12/2025,Rejected in IMS - PO number not quoted on invoice,Invoice
24AAGCA1188M1ZI,S05/2025/021,19/11/2025,359900,Accept,13/12/2025,,Invoice
24AAGCA1188M1ZI,S05/2025/022,23/11/2025,372880,No Action,//,,Invoice
24AAGCA1188M1ZI,S05/2025/023,12/11/2025,363440,Accept,13/12/2025,,Invoice
27AAJFN2276C1ZC,S07/2025/021,12/11/2025,253700,Accept,13/12/2025,,Invoice
27AAJFN2276C1ZC,S07/2025/022,21/11/2025,239540,Accept,13/12/2025,,Invoice
24AAECR8890P1ZI,S08/2025/021,04/11/2025,195880,Accept,13/12/2025,,Invoice
24AAECR8890P1ZI,S08/2025/022,17/11/2025,207680,No Action,//,,Invoice
27AAFCB2210G1Z8,S12/2025/022,18/11/2025,193520,Accept,13/12/2025,,Invoice
27AAGFK5561R1ZL,S13/2025/021,21/11/2025,100300,Accept,13/12/2025,,Invoice
24AAACT3398E1ZE,S14/2025/021,26/11/2025,162840,Accept,13/12/2025,,Invoice
33AAJFL7745T1ZE,S15/2025/021,22/11/2025,51920,Accept,13/12/2025,,Invoice
33AAJFL7745T1ZE,S15/2025/022,13/11/2025,54280,Accept,13/12/2025,,Invoice
33AAJFL7745T1ZE,S15/2025/023,22/11/2025,57820,Accept,13/12/2025,,Invoice
29AAECO9912W1Z8,S16/2025/021,14/11/2025,62540,Accept,13/12/2025,,Invoice
29AAECO9912W1Z8,S16/2025/022,11/11/2025,70800,No Action,//,,Invoice
09AAHFG4423Y1ZH,S17/2025/021,22/11/2025,57820,Accept,13/12/2025,,Invoice
27AAKFP6678U1ZU,S18/2025/021,09/11/2025,160480,Accept,13/12/2025,,Invoice
27AAKFP6678U1ZU,S18/2025/022,25/11/2025,165200,Accept,13/12/2025,,Invoice
27AAKFP6678U1ZU,S18/2025/023,02/11/2025,161660,Accept,13/12/2025,,Invoice
33AABFS2234V1ZT,S19/2025/012,09/10/2025,116820,Accept,13/12/2025,,Invoice
33AABFS2234V1ZT,S19/2025/021,08/11/2025,110920,Accept,13/12/2025,,Invoice
27AAFCA8801X1ZT,S20/2025/021,20/11/2025,158120,No Action,//,,Invoice
27AAFCA8801X1ZT,S20/2025/022,25/11/2025,159300,No Action,//,,Invoice
29AADCN3345Z1ZD,S21/2025/021,10/11/2025,197060,Accept,13/12/2025,,Invoice
29AADCN3345Z1ZD,S21/2025/022,09/11/2025,185260,Accept,13/12/2025,,Invoice
29AADCN3345Z1ZD,S21/2025/023,04/11/2025,188800,Accept,13/12/2025,,Invoice
27AAGFM1167A1ZO,S22/2025/021,05/11/2025,220660,Accept,13/12/2025,,Invoice
24AAECC7789B1ZM,S23/2025/021,10/11/2025,177000,Accept,13/12/2025,,Invoice
09AAJFY5523C1Z3,S24/2025/021,08/11/2025,169920,Accept,13/12/2025,,Invoice
09AAJFY5523C1Z3,S24/2025/022,13/11/2025,156940,Accept,13/12/2025,,Invoice
09AAJFY5523C1Z3,S24/2025/023,24/11/2025,167560,Accept,13/12/2025,,Invoice
27AABCZ9934D1Z1,S25/2025/021,02/11/2025,50740,Accept,13/12/2025,,Invoice
