Sharma Enterprises Private Limited
Purchase Register for the period 2025-09
GSTIN: 27AAACB2894G1ZP

Supplier Name,GSTIN,Invoice No,Invoice Date,Taxable Value,CGST,SGST,IGST,Cess,Doc Type,ITC Eligible,Nature of Supply
Mahesh Steel Traders,27AAPFM4821K1ZV,S01/2025/001,14/09/2025,485000,43650,43650,0,0,Invoice,Yes,
Mahesh Steel Traders,27AAPFM4821K1ZV,S01/2025/002,18/09/2025,471000,42390,42390,0,0,Invoice,Yes,
Mahesh Steel Traders,27AAPFM4821K1ZV,S01/2025/003,2025-09-17,478000,43020,43020,0,0,Invoice,Yes,
Precision Components Pvt Ltd,,S02/2025/001,18/09/2025,"2,77,000",0,0,"49,860",0,Invoice,Yes,
Precision Components Pvt Ltd,29AADCP7712H1Z9,S02/2025/002,25/09/2025,277000,0,0,49860,0,Invoice,Yes,
Kaveri Packaging,29AAKFK3390B1ZB,S03/2025/001,16/09/2025,121000,0,0,21780,0,Invoice,Yes,
Kaveri Packaging,29AAKFK3390B1ZB,S03/2025/002,21/09/2025,107000,0,0,19260,0,Invoice,Yes,
Deccan Freight Carriers,36AAECD5567L1Z8,S04/2025/001,15/09/2025,90000,0,0,16200,0,Invoice,Yes,
Deccan Freight Carriers,36AAECD5567L1Z7,S04/2025/002,24/09/2025,86000,0,0,15480,0,Invoice,Yes,
Anand Polymers,24AAGCA1188M1ZI,S05/2025/001,2025-09-11,314000,0,0,56520,0,Invoice,Yes,
Anand Polymers,24AAGCA1188M1ZI,S05/2025/002,24/09/2025,"3,15,000",0,0,"56,700",0,Invoice,Yes,
Anand Polymers,,S05/2025/003,14/09/2025,320000,0,0,57600,0,Invoice,Yes,
Surya Electricals,27AABFS9034J1ZY,S06/2025/001,11/09/2025,152000,13680,13680,0,0,Invoice,Yes,
Surya Electricals,27AABFS9034J1ZY,S06/2025/002,24/09/2025,133000,11970,11970,0,0,Invoice,Yes,
Nilkanth Traders,27AAJFN2276C1ZC,S07/2025/001,07/09/2025,196000,17640,17640,0,0,Invoice,Yes,
Nilkanth Traders,27AAJFN2276C1ZC,S07/2025/002,26/09/2025,215000,19350,19350,0,0,Invoice,Yes,
Ratna Chemicals,24AAECR8890P1ZI,S08/2025/001,11/09/2025,186000,0,0,33480,0,Invoice,Yes,
Ratna Chemicals,24AAECR8890P1ZI,S08/2025/002,18/09/2025,"1,85,000",0,0,"33,300",0,Invoice,Yes,
Metro Motors,27AAACM6543N1Z3,S09/2025/001,20/09/2025,896000,80640,80640,0,0,Invoice,No,Blocked u/s 17(5) - motor vehicle purchase
Vindhya Alloys,,S10/2025/001,11/09/2025,265000,0,0,47700,0,Invoice,Yes,
