GSTIN,Invoice No,Invoice Date,Value,Action,Date of Action,Remark,Record Type
27AAPFM4821K1ZV,S01/2026/041,19/01/2026,572300,Accept,13/05/2026,,Invoice
29AADCP7712H1Z9,S02/2026/071,23/04/2026,319780,Reject,12/05/2026,Rejected in IMS - PO number not quoted on invoice,Invoice
29AADCP7712H1Z9,S02/2026/072,25/04/2026,306800,Reject,12/05/2026,Rejected in IMS - PO number not quoted on invoice,Invoice
27AAJFN2276C1ZC,S07/2026/071,19/04/2026,250160,Accept,13/05/2026,,Invoice
27AAJFN2276C1ZC,S07/2026/072,05/04/2026,251340,Accept,13/05/2026,,Invoice
24AAECR8890P1ZI,S08/2026/071,26/04/2026,215940,No Action,//,,Invoice
24AAECR8890P1ZI,S08/2026/072,24/04/2026,219480,Accept,13/05/2026,,Invoice
27AAHFS1129D1ZH,S11/2026/071,26/04/2026,95580,No Action,//,,Invoice
27AAHFS1129D1ZH,S11/2026/072,06/04/2026,94400,Accept,13/05/2026,,Invoice
27AAFCB2210G1Z8,S12/2026/071,16/04/2026,197060,Accept,13/05/2026,,Invoice
27AAFCB2210G1Z8,S12/2026/072,14/04/2026,177000,Accept,13/05/2026,,Invoice
27AAGFK5561R1ZL,S13/2026/071,04/04/2026,74340,Accept,13/05/2026,,Invoice
24AAACT3398E1ZE,S14/2026/071,10/04/2026,156940,Accept,13/05/2026,,Invoice
33AAJFL7745T1ZE,S15/2026/071,11/04/2026,31860,Accept,13/05/2026,,Invoice
33AAJFL7745T1ZE,S15/2026/072,21/04/2026,48380,Accept,13/05/2026,,Invoice
33AAJFL7745T1ZE,S15/2026/073,16/04/2026,56640,Accept,13/05/2026,,Invoice
29AAECO9912W1Z8,S16/2026/071,20/04/2026,76700,Accept,13/05/2026,,Invoice
29AAECO9912W1Z8,S16/2026/072,05/04/2026,56640,No Action,//,,Invoice
09AAHFG4423Y1ZH,S17/2026/071,04/04/2026,67260,Accept,13/05/2026,,Invoice
27AAKFP6678U1ZU,S18/2026/071,13/04/2026,164020,Accept,13/05/2026,,Invoice
27AAKFP6678U1ZU,S18/2026/072,08/04/2026,166380,Accept,13/05/2026,,Invoice
27AAKFP6678U1ZU,S18/2026/073,14/04/2026,165200,Accept,13/05/2026,,Invoice
33AABFS2234V1ZT,S19/2026/071,16/04/2026,118000,Accept,13/05/2026,,Invoice
33AABFS2234V1ZT,S19/2026/072,18/04/2026,92040,No Action,//,,Invoice
27AAFCA8801X1ZT,S20/2026/072,10/04/2026,147500,Accept,13/05/2026,,Invoice
29AADCN3345Z1ZD,S21/2026/061,08/03/2026,187620,Accept,13/05/2026,,Invoice
29AADCN3345Z1ZD,S21/2026/071,22/04/2026,204140,Accept,13/05/2026,,Invoice
29AADCN3345Z1ZD,S21/2026/072,06/04/2026,187620,Accept,13/05/2026,,Invoice
29AADCN3345Z1ZD,S21/2026/073,18/04/2026,204140,No Action,//,,Invoice
27AAGFM1167A1ZO,S22/2026/071,10/04/2026,210040,Accept,13/05/2026,,Invoice
24AAECC7789B1ZM,S23/2026/071,21/04/2026,186440,Accept,13/05/2026,,Invoice
09AAJFY5523C1Z3,S24/2026/071,08/04/2026,146320,No Action,//,,Invoice
09AAJFY5523C1Z3,S24/2026/072,20/04/2026,153400,No Action,//,,Invoice
09AAJFY5523C1Z3,S24/2026/073,10/04/2026,142780,No Action,//,,Invoice
27AABCZ9934D1Z1,S25/2026/071,21/04/2026,40120,Accept,13/05/2026,,Invoice
