GSTIN,Invoice No,Invoice Date,Value,Action,Date of Action,Remark,Record Type
27AAPFM4821K1ZV,S01/2026/051,10/02/2026,566400,No Action,//,,Invoice
27AAPFM4821K1ZV,S01/2026/053,18/02/2026,560500,No Action,//,,Invoice
29AADCP7712H1Z9,S02/2026/051,12/02/2026,302080,Reject,12/03/2026,Rejected in IMS - PO number not quoted on invoice,Invoice
29AADCP7712H1Z9,S02/2026/052,11/02/2026,322140,Reject,12/03/2026,Rejected in IMS - PO number not quoted on invoice,Invoice
24AAGCA1188M1ZI,S05/2026/051,04/02/2026,359900,Accept,13/03/2026,,Invoice
24AAGCA1188M1ZI,S05/2026/052,14/02/2026,376420,Accept,13/03/2026,,Invoice
24AAGCA1188M1ZI,S05/2026/053,10/02/2026,375240,Accept,13/03/2026,,Invoice
27AAJFN2276C1ZC,S07/2026/051,14/02/2026,227740,Accept,13/03/2026,,Invoice
27AAJFN2276C1ZC,S07/2026/052,21/02/2026,253700,Accept,13/03/2026,,Invoice
24AAECR8890P1ZI,S08/2026/051,25/02/2026,214760,No Action,//,,Invoice
24AAECR8890P1ZI,S08/2026/051/DN,26/02/2026,21476,Accept,14/03/2026,,Debit Note
24AAECR8890P1ZI,S08/2026/052,10/02/2026,210040,Accept,13/03/2026,,Invoice
24AAECR8890P1ZI,S08/2026/052/DN,26/02/2026,21004,Accept,14/03/2026,,Debit Note
27AAFCB2210G1Z8,S12/2026/051,12/02/2026,189980,No Action,//,,Invoice
27AAFCB2210G1Z8,S12/2026/052,08/02/2026,195880,Accept,13/03/2026,,Invoice
27AAGFK5561R1ZL,S13/2026/051,07/02/2026,75520,Accept,13/03/2026,,Invoice
24AAACT3398E1ZE,S14/2026/051,09/02/2026,143960,Accept,13/03/2026,,Invoice
33AAJFL7745T1ZE,S15/2026/051,13/02/2026,54280,No Action,//,,Invoice
33AAJFL7745T1ZE,S15/2026/052,09/02/2026,57820,Accept,13/03/2026,,Invoice
33AAJFL7745T1ZE,S15/2026/053,19/02/2026,46020,No Action,//,,Invoice
29AAECO9912W1Z8,S16/2026/051,02/02/2026,61360,Accept,13/03/2026,,Invoice
29AAECO9912W1Z8,S16/2026/052,04/02/2026,68440,Accept,13/03/2026,,Invoice
09AAHFG4423Y1ZH,S17/2026/051,08/02/2026,42480,No Action,//,,Invoice
27AAKFP6678U1ZU,S18/2026/051,09/02/2026,171100,Accept,13/03/2026,,Invoice
27AAKFP6678U1ZU,S18/2026/052,14/02/2026,162840,Accept,13/03/2026,,Invoice
27AAKFP6678U1ZU,S18/2026/053,13/02/2026,168740,Accept,13/03/2026,,Invoice
33AABFS2234V1ZT,S19/2026/042,04/01/2026,101480,Accept,13/03/2026,,Invoice
33AABFS2234V1ZT,S19/2026/051,25/02/2026,107380,Accept,13/03/2026,,Invoice
33AABFS2234V1ZT,S19/2026/052,15/02/2026,96760,Accept,13/03/2026,,Invoice
27AAFCA8801X1ZT,S20/2026/051,24/02/2026,149860,Accept,13/03/2026,,Invoice
27AAFCA8801X1ZT,S20/2026/052,12/02/2026,142780,Accept,13/03/2026,,Invoice
29AADCN3345Z1ZD,S21/2026/051,10/02/2026,184080,Accept,13/03/2026,,Invoice
29AADCN3345Z1ZD,S21/2026/052,24/02/2026,210040,Accept,13/03/2026,,Invoice
29AADCN3345Z1ZD,S21/2026/053,14/02/2026,182900,Accept,13/03/2026,,Invoice
24AAECC7789B1ZM,S23/2026/051,26/02/2026,197060,No Action,//,,Invoice
09AAJFY5523C1Z3,S24/2026/051,04/02/2026,145140,Accept,13/03/2026,,Invoice
09AAJFY5523C1Z3,S24/2026/052,18/02/2026,156940,No Action,//,,Invoice
09AAJFY5523C1Z3,S24/2026/053,05/02/2026,167560,Accept,13/03/2026,,Invoice
27AABCZ9934D1Z1,S25/2026/051,18/02/2026,51920,Accept,13/03/2026,,Invoice
