Sharma Enterprises Private Limited
Purchase Register for the period 2025-12
GSTIN: 27AAACB2894G1ZP

Supplier Name,GSTIN,Invoice No,Invoice Date,Taxable Value,CGST,SGST,IGST,Cess,Doc Type,ITC Eligible,Nature of Supply
Mahesh Steel Traders,27AAPFM4821K1ZV,S01/2025/031,10/12/2025,488000,43920,43920,0,0,Invoice,Yes,
Mahesh Steel Traders,27AAPFM4821K1ZV,S01/2025/032,18/12/2025,480000,43200,43200,0,0,Invoice,Yes,
Mahesh Steel Traders,27AAPFM4821K1ZV,S01/2025/033,2025-12-17,492000,44280,44280,0,0,Invoice,Yes,
Precision Components Pvt Ltd,29AADCP7712H1Z9,S02/2025/031,05/12/2025,"2,72,000",0,0,"48,960",0,Invoice,Yes,
Precision Components Pvt Ltd,29AADCP7712H1Z9,S02/2025/032,21/12/2025,256000,0,0,46080,0,Invoice,Yes,
Kaveri Packaging,29AAKFK3390B1ZB,S03/2025/031,04/12/2025,127000,0,0,22860,0,Invoice,Yes,
Kaveri Packaging,29AAKFK3390B1ZB,S03/2025/032,24/12/2025,125000,0,0,22500,0,Invoice,Yes,
Deccan Freight Carriers,36AAECD5567L1Z7,S04/2025/031,23/12/2025,89000,0,0,16020,0,Invoice,Yes,
Deccan Freight Carriers,36AAECD5567L1Z7,S04/2025/032,13/12/2025,95000,0,0,17100,0,Invoice,Yes,
Anand Polymers,24AAGCA1188M1ZI,S05/2025/031,2025-12-15,303000,0,0,54540,0,Invoice,Yes,
Anand Polymers,24AAGCA1188M1ZI,S05/2025/032,14/12/2025,"3,12,000",0,0,"56,160",0,Invoice,Yes,
Anand Polymers,24AAGCA1188M1ZI,S05/2025/033,07/12/2025,303000,0,0,54540,0,Invoice,Yes,
Surya Electricals,27AABFS9034J1ZY,S06/2025/031,19/12/2025,131000,11790,11790,0,0,Invoice,Yes,
Surya Electricals,27AABFS9034J1ZY,S06/2025/032,26/12/2025,148000,13320,13320,0,0,Invoice,Yes,
Nilkanth Traders,27AAJFN2276C1ZC,S07/2025/031,19/12/2025,203000,18270,18270,0,0,Invoice,Yes,
Nilkanth Traders,27AAJFN2276C1ZC,S07/2025/032,13/12/2025,206000,18540,18540,0,0,Invoice,Yes,
Ratna Chemicals,24AAECR8890P1ZI,S08/2025/031,24/12/2025,187000,0,0,33660,0,Invoice,Yes,
Ratna Chemicals,24AAECR8890P1ZI,S08/CN/004,27/12/2025,"28,050",0,0,"5,049",0,Credit Note,Yes,Rate difference
Ratna Chemicals,24AAECR8890P1ZI,S08/2025/032,23/12/2025,168000,0,0,30240,0,Invoice,Yes,
Ratna Chemicals,24AAECR8890P1ZI,S08/CN/004,27/12/2025,25200,0,0,4536,0,Credit Note,Yes,Rate difference
Metro Motors,27AAACM6543N1Z3,S09/2025/031,07/12/2025,888000,79920,79920,0,0,Invoice,No,Blocked u/s 17(5) - motor vehicle purchase
Vindhya Alloys,23AAFCV4412Q1Z3,S10/2025/031,03/12/2025,253000,0,0,45540,0,Invoice,Yes,
Vindhya Alloys,23AAFCV4412Q1Z3,S10/2025/032,25/12/2025,259000,0,0,46620,0,Invoice,Yes,
Bharat Office Supplies,27AAFCB2210G1Z8,S12/2025/031,04/12/2025,151000,13590,13590,0,0,Invoice,Yes,
Bharat Office Supplies,27AAFCB2210G1Z8,S12/2025/032,04/12/2025,"1,50,000","13,500","13,500",0,0,Invoice,Yes,
Konkan Hardware,27AAGFK5561R1ZL,S13/2025/031,24/12/2025,63000,5670,5670,0,0,Invoice,Yes,
Trident Paper Mills,24AAACT3398E1ZE,S14/2025/031,05/12/2025,130000,0,0,23400,0,Invoice,Yes,
Lakshmi Fasteners,33AAJFL7745T1ZE,S15/2025/031,26/12/2025,50000,0,0,9000,0,Invoice,Yes,
Lakshmi Fasteners,33AAJFL7745T1ZE,S15/2025/032,03/12/2025,48000,0,0,8640,0,Invoice,Yes,
Lakshmi Fasteners,33AAJFL7745T1ZE,S15/2025/033,03/12/2025,33000,0,0,5940,0,Invoice,Yes,
Orion Software Services,29AAECO9912W1Z8,S16/2025/031,17/12/2025,51000,0,0,9180,0,Invoice,Yes,
Orion Software Services,29AAECO9912W1Z8,S16/2025/032,16/12/2025,"56,000",0,0,"10,080",0,Invoice,Yes,
Ganga Textiles,09AAHFG4423Y1ZH,S17/2025/031,03/12/2025,40000,0,0,7200,0,Invoice,Yes,
Pinnacle Safety Gear,27AAKFP6678U1ZU,S18/2025/031,13/12/2025,142000,12780,12780,0,0,Invoice,Yes,
Pinnacle Safety Gear,27AAKFP6678U1ZU,S18/2025/032,13/12/2025,139000,12510,12510,0,0,Invoice,Yes,
Pinnacle Safety Gear,27AAKFP6678U1ZU,S18/2025/033,17/12/2025,126000,11340,11340,0,0,Invoice,Yes,
Sundar Printing Works,33AABFS2234V1ZT,S19/2025/031,08/12/2025,84000,0,0,15120,0,Invoice,Yes,
Sundar Printing Works,33AABFS2234V1ZT,S19/2025/032,07/12/2025,86000,0,0,15480,0,Invoice,Yes,
Ashoka Civil Works,27AAFCA8801X1ZT,S20/2025/031,19/12/2025,"1,14,000","10,260","10,260",0,0,Invoice,Yes,
Ashoka Civil Works,27AAFCA8801X1ZT,S20/2025/032,11/12/2025,119000,10710,10710,0,0,Invoice,Yes,
Nova Instruments,29AADCN3345Z1ZD,S21/2025/031,15/12/2025,174000,0,0,31320,0,Invoice,Yes,
Nova Instruments,29AADCN3345Z1ZD,S21/2025/032,14/12/2025,178000,0,0,32040,0,Invoice,Yes,
Nova Instruments,29AADCN3345Z1ZD,S21/2025/033,09/12/2025,158000,0,0,28440,0,Invoice,Yes,
Meridian Housekeeping,27AAGFM1167A1ZO,S22/2025/031,05/12/2025,171000,15390,15390,0,0,Invoice,Yes,
Coral Adhesives,24AAECC7789B1ZM,S23/2025/031,22/12/2025,163000,0,0,29340,0,Invoice,Yes,
Yamuna Agro Products,09AAJFY5523C1Z3,S24/2025/031,16/12/2025,"1,23,000",0,0,"22,140",0,Invoice,Yes,
Yamuna Agro Products,09AAJFY5523C1Z3,S24/2025/032,20/12/2025,128000,0,0,23040,0,Invoice,Yes,
Yamuna Agro Products,09AAJFY5523C1Z3,S24/2025/033,14/12/2025,132000,0,0,23760,0,Invoice,Yes,
Zenith Tooling,27AABCZ9934D1Z1,S25/2025/031,09/12/2025,44000,3960,3960,0,0,Invoice,Yes,
Grand Total,,,,8691250,382950,382950,798525,0,,,
