Sharma Enterprises Private Limited
Purchase Register for the period 2026-02
GSTIN: 27AAACB2894G1ZP

Supplier Name,GSTIN,Invoice No,Invoice Date,Taxable Value,CGST,SGST,IGST,Cess,Doc Type,ITC Eligible,Nature of Supply
Mahesh Steel Traders,27AAPFM4821K1ZV,S01/2026/051,10/02/2026,480000,43200,43200,0,0,Invoice,Yes,
Mahesh Steel Traders,27AAPFM4821K1ZV,S01/2026/052,23/02/2026,481000,43290,43290,0,0,Invoice,Yes,
Mahesh Steel Traders,27AAPFM4821K1ZV,S01/2026/053,2026-02-18,475000,42750,42750,0,0,Invoice,Yes,
Precision Components Pvt Ltd,29AADCP7712H1Z9,S02/2026/051,12/02/2026,"2,56,000",0,0,"46,080",0,Invoice,Yes,
Precision Components Pvt Ltd,29AADCP7712H1Z9,S02/2026/052,11/02/2026,273000,0,0,49140,0,Invoice,Yes,
Kaveri Packaging,29AAKFK3390B1ZB,S03/2026/051,05/02/2026,114000,0,0,20520,0,Invoice,Yes,
Kaveri Packaging,29AAKFK3390B1ZB,S03/2026/052,18/02/2026,127000,0,0,22860,0,Invoice,Yes,
Deccan Freight Carriers,36AAECD5567L1Z7,S04/2026/051,13/02/2026,94000,0,0,16920,0,Invoice,Yes,
Deccan Freight Carriers,36AAECD5567L1Z7,S04/2026/052,20/02/2026,95000,0,0,17100,0,Invoice,Yes,
Anand Polymers,24AAGCA1188M1ZI,S05/2026/051,2026-02-04,305000,0,0,54900,0,Invoice,Yes,
Anand Polymers,24AAGCA1188M1ZI,S05/2026/052,14/02/2026,"3,19,000",0,0,"57,420",0,Invoice,Yes,
Anand Polymers,24AAGCA1188M1ZI,S05/2026/053,10/02/2026,318000,0,0,57240,0,Invoice,Yes,
Surya Electricals,27AABFS9034J1ZY,S06/2026/051,10/02/2026,142000,12780,12780,0,0,Invoice,Yes,
Surya Electricals,27AABFS9034J1ZY,S06/2026/052,23/02/2026,141000,12690,12690,0,0,Invoice,Yes,
Nilkanth Traders,27AAJFN2276C1ZC,S07/2026/051,14/02/2026,193000,17370,17370,0,0,Invoice,Yes,
Nilkanth Traders,27AAJFN2276C1ZC,S07/2026/052,21/02/2026,215000,19350,19350,0,0,Invoice,Yes,
Ratna Chemicals,24AAECR8890P1ZI,S08/2026/051,25/02/2026,182000,0,0,32760,0,Invoice,Yes,
Ratna Chemicals,24AAECR8890P1ZI,S08/2026/051/DN,26/02/2026,"18,200",0,0,"3,276",0,Debit Note,Yes,Price escalation
Ratna Chemicals,24AAECR8890P1ZI,S08/2026/052,10/02/2026,178000,0,0,32040,0,Invoice,Yes,
Ratna Chemicals,24AAECR8890P1ZI,S08/2026/052/DN,26/02/2026,17800,0,0,3204,0,Debit Note,Yes,Price escalation
Metro Motors,27AAACM6543N1Z3,S09/2026/051,06/02/2026,902000,81180,81180,0,0,Invoice,No,Blocked u/s 17(5) - motor vehicle purchase
Vindhya Alloys,23AAFCV4412Q1Z3,S10/2026/051,07/02/2026,274000,0,0,49320,0,Invoice,Yes,
Vindhya Alloys,23AAFCV4412Q1Z3,S10/2026/052,19/02/2026,265000,0,0,47700,0,Invoice,Yes,
Bharat Office Supplies,27AAFCB2210G1Z8,S12/2026/051,12/02/2026,161000,14490,14490,0,0,Invoice,Yes,
Bharat Office Supplies,27AAFCB2210G1Z8,S12/2026/052,08/02/2026,"1,66,000","14,940","14,940",0,0,Invoice,Yes,
Konkan Hardware,27AAGFK5561R1ZL,S13/2026/051,07/02/2026,64000,5760,5760,0,0,Invoice,Yes,
Trident Paper Mills,24AAACT3398E1ZE,S14/2026/051,09/02/2026,122000,0,0,21960,0,Invoice,Yes,
Lakshmi Fasteners,33AAJFL7745T1ZE,S15/2026/051,13/02/2026,46000,0,0,8280,0,Invoice,Yes,
Lakshmi Fasteners,33AAJFL7745T1ZE,S15/2026/052,09/02/2026,49000,0,0,8820,0,Invoice,Yes,
Lakshmi Fasteners,33AAJFL7745T1ZE,S15/2026/053,19/02/2026,39000,0,0,7020,0,Invoice,Yes,
Orion Software Services,29AAECO9912W1Z8,S16/2026/051,02/02/2026,52000,0,0,9360,0,Invoice,Yes,
Orion Software Services,29AAECO9912W1Z8,S16/2026/052,04/02/2026,"58,000",0,0,"10,440",0,Invoice,Yes,
Ganga Textiles,09AAHFG4423Y1ZH,S17/2026/051,08/02/2026,36000,0,0,6480,0,Invoice,Yes,
Pinnacle Safety Gear,27AAKFP6678U1ZU,S18/2026/051,09/02/2026,145000,13050,13050,0,0,Invoice,Yes,
Pinnacle Safety Gear,27AAKFP6678U1ZU,S18/2026/052,14/02/2026,138000,12420,12420,0,0,Invoice,Yes,
Pinnacle Safety Gear,27AAKFP6678U1ZU,S18/2026/053,13/02/2026,143000,12870,12870,0,0,Invoice,Yes,
Sundar Printing Works,33AABFS2234V1ZT,S19/2026/051,25/02/2026,91000,0,0,16380,0,Invoice,Yes,
Sundar Printing Works,33AABFS2234V1ZT,S19/2026/052,15/02/2026,82000,0,0,14760,0,Invoice,Yes,
Ashoka Civil Works,27AAFCA8801X1ZT,S20/2026/051,24/02/2026,"1,27,000","11,430","11,430",0,0,Invoice,Yes,
Ashoka Civil Works,27AAFCA8801X1ZT,S20/2026/052,12/02/2026,121000,10890,10890,0,0,Invoice,Yes,
Nova Instruments,29AADCN3345Z1ZD,S21/2026/051,10/02/2026,156000,0,0,28080,0,Invoice,Yes,
Nova Instruments,29AADCN3345Z1ZD,S21/2026/052,24/02/2026,178000,0,0,32040,0,Invoice,Yes,
Nova Instruments,29AADCN3345Z1ZD,S21/2026/053,14/02/2026,155000,0,0,27900,0,Invoice,Yes,
Meridian Housekeeping,27AAGFM1167A1ZO,S22/2026/051,19/02/2026,166000,14940,14940,0,0,Invoice,Yes,
Coral Adhesives,24AAECC7789B1ZM,S23/2026/051,26/02/2026,167000,0,0,30060,0,Invoice,Yes,
Yamuna Agro Products,09AAJFY5523C1Z3,S24/2026/051,04/02/2026,"1,23,000",0,0,"22,140",0,Invoice,Yes,
Yamuna Agro Products,09AAJFY5523C1Z3,S24/2026/052,18/02/2026,133000,0,0,23940,0,Invoice,Yes,
Yamuna Agro Products,09AAJFY5523C1Z3,S24/2026/053,05/02/2026,142000,0,0,25560,0,Invoice,Yes,
Zenith Tooling,27AABCZ9934D1Z1,S25/2026/051,18/02/2026,44000,3960,3960,0,0,Invoice,Yes,
Grand Total,,,,8769000,387360,387360,803700,0,,,
