Sharma Enterprises Private Limited
Purchase Register for the period 2026-04
GSTIN: 27AAACB2894G1ZP

Supplier Name,GSTIN,Invoice No,Invoice Date,Taxable Value,CGST,SGST,IGST,Cess,Doc Type,ITC Eligible,Nature of Supply
Mahesh Steel Traders,27AAPFM4821K1ZV,S01/2026/071,04/04/2026,486000,43740,43740,0,0,Invoice,Yes,
Mahesh Steel Traders,27AAPFM4821K1ZV,S01/2026/072,12/04/2026,479000,43110,43110,0,0,Invoice,Yes,
Mahesh Steel Traders,27AAPFM4821K1ZV,S01/2026/073,2026-04-25,469000,42210,42210,0,0,Invoice,Yes,
Precision Components Pvt Ltd,29AADCP7712H1Z9,S02/2026/071,23/04/2026,"2,71,000",0,0,"48,780",0,Invoice,Yes,
Precision Components Pvt Ltd,29AADCP7712H1Z9,S02/2026/072,25/04/2026,260000,0,0,46800,0,Invoice,Yes,
Kaveri Packaging,29AAKFK3390B1ZB,S03/2026/071,11/04/2026,112000,0,0,20160,0,Invoice,Yes,
Kaveri Packaging,29AAKFK3390B1ZB,S03/2026/072,24/04/2026,119000,0,0,21420,0,Invoice,Yes,
Deccan Freight Carriers,36AAECD5567L1Z7,S04/2026/071,02/04/2026,84000,0,0,15120,0,Invoice,Yes,
Deccan Freight Carriers,36AAECD5567L1Z7,S04/2026/072,16/04/2026,91000,0,0,16380,0,Invoice,Yes,
Anand Polymers,24AAGCA1188M1ZI,S05/2026/071,2026-04-17,315000,0,0,56700,0,Invoice,Yes,
Anand Polymers,24AAGCA1188M1ZI,S05/2026/072,23/04/2026,"3,13,000",0,0,"56,340",0,Invoice,Yes,
Anand Polymers,24AAGCA1188M1ZI,S05/2026/073,13/04/2026,299000,0,0,53820,0,Invoice,Yes,
Surya Electricals,27AABFS9034J1ZY,S06/2026/071,23/04/2026,139000,12510,12510,0,0,Invoice,Yes,
Surya Electricals,27AABFS9034J1ZY,S06/2026/072,09/04/2026,145000,13050,13050,0,0,Invoice,Yes,
Nilkanth Traders,27AAJFN2276C1ZC,S07/2026/071,19/04/2026,212000,19080,19080,0,0,Invoice,Yes,
Nilkanth Traders,27AAJFN2276C1ZC,S07/2026/072,05/04/2026,213000,19170,19170,0,0,Invoice,Yes,
Ratna Chemicals,24AAECR8890P1ZI,S08/2026/071,26/04/2026,183000,0,0,32940,0,Invoice,Yes,
