GSTIN,Invoice No,Invoice Date,Value,Action,Date of Action,Remark,Record Type
27AAPFM4821K1ZV,S01/2025/012,02/10/2025,575840,Accept,13/02/2026,,Invoice
27AAPFM4821K1ZV,S01/2025/031,10/12/2025,575840,Accept,13/02/2026,,Invoice
27AAPFM4821K1ZV,S01/2025/033,17/12/2025,580560,Accept,13/02/2026,,Invoice
29AADCP7712H1Z9,S02/2026/041,12/01/2026,309160,Reject,12/02/2026,Rejected in IMS - PO number not quoted on invoice,Invoice
29AADCP7712H1Z9,S02/2026/042,23/01/2026,311520,Reject,12/02/2026,Rejected in IMS - PO number not quoted on invoice,Invoice
24AAGCA1188M1ZI,S05/2026/041,10/01/2026,356360,Accept,13/02/2026,,Invoice
24AAGCA1188M1ZI,S05/2026/042,12/01/2026,351640,Accept,13/02/2026,,Invoice
24AAGCA1188M1ZI,S05/2026/043,05/01/2026,363440,Accept,13/02/2026,,Invoice
27AAJFN2276C1ZC,S07/2026/041,03/01/2026,234820,Accept,13/02/2026,,Invoice
27AAJFN2276C1ZC,S07/2026/042,21/01/2026,237180,Accept,13/02/2026,,Invoice
24AAECR8890P1ZI,S08/2026/041,19/01/2026,214760,Accept,13/02/2026,,Invoice
24AAECR8890P1ZI,S08/2026/042,10/01/2026,224200,Accept,13/02/2026,,Invoice
27AAFCB2210G1Z8,S12/2026/041,17/01/2026,177000,Accept,13/02/2026,,Invoice
27AAFCB2210G1Z8,S12/2026/042,06/01/2026,198240,Accept,13/02/2026,,Invoice
27AAGFK5561R1ZL,S13/2026/041,18/01/2026,86140,Accept,13/02/2026,,Invoice
24AAACT3398E1ZE,S14/2026/041,24/01/2026,149860,No Action,//,,Invoice
33AAJFL7745T1ZE,S15/2026/041,12/01/2026,50740,No Action,//,,Invoice
33AAJFL7745T1ZE,S15/2026/042,25/01/2026,43660,Accept,13/02/2026,,Invoice
33AAJFL7745T1ZE,S15/2026/043,17/01/2026,47200,Accept,13/02/2026,,Invoice
29AAECO9912W1Z8,S16/2026/041,21/01/2026,81420,Accept,13/02/2026,,Invoice
29AAECO9912W1Z8,S16/2026/042,04/01/2026,76700,Accept,13/02/2026,,Invoice
09AAHFG4423Y1ZH,S17/2026/041,11/01/2026,59000,Accept,13/02/2026,,Invoice
27AAKFP6678U1ZU,S18/2026/041,12/01/2026,160480,Accept,13/02/2026,,Invoice
27AAKFP6678U1ZU,S18/2026/042,21/01/2026,169920,Accept,13/02/2026,,Invoice
27AAKFP6678U1ZU,S18/2026/043,09/01/2026,171100,Accept,13/02/2026,,Invoice
33AABFS2234V1ZT,S19/2026/041,04/01/2026,110920,Accept,13/02/2026,,Invoice
27AAFCA8801X1ZT,S20/2025/032,11/12/2025,140420,Accept,13/02/2026,,Invoice
27AAFCA8801X1ZT,S20/2026/041,15/01/2026,151040,Accept,13/02/2026,,Invoice
27AAFCA8801X1ZT,S20/2026/042,04/01/2026,146320,Accept,13/02/2026,,Invoice
29AADCN3345Z1ZD,S21/2026/041,17/01/2026,192340,Accept,13/02/2026,,Invoice
29AADCN3345Z1ZD,S21/2026/042,18/01/2026,184080,No Action,//,,Invoice
29AADCN3345Z1ZD,S21/2026/043,20/01/2026,186440,Accept,13/02/2026,,Invoice
27AAGFM1167A1ZO,S22/2026/041,03/01/2026,219480,Accept,13/02/2026,,Invoice
24AAECC7789B1ZM,S23/2026/041,04/01/2026,180540,No Action,//,,Invoice
09AAJFY5523C1Z3,S24/2026/041,22/01/2026,169920,No Action,//,,Invoice
09AAJFY5523C1Z3,S24/2026/042,09/01/2026,146320,Accept,13/02/2026,,Invoice
09AAJFY5523C1Z3,S24/2026/043,09/01/2026,169920,No Action,//,,Invoice
27AABCZ9934D1Z1,S25/2026/041,15/01/2026,56640,Accept,13/02/2026,,Invoice
