GSTIN,Invoice No,Invoice Date,Value,Action,Date of Action,Remark,Record Type
27AAPFM4821K1ZV,S01/2025/003,17/09/2025,564040,Accept,13/10/2025,,Invoice
29AADCP7712H1Z9,S02/2025/001,18/09/2025,326860,Reject,12/10/2025,Rejected in IMS - PO number not quoted on invoice,Invoice
29AADCP7712H1Z9,S02/2025/002,25/09/2025,326860,Reject,12/10/2025,Rejected in IMS - PO number not quoted on invoice,Invoice
29AAKFK3390B1ZB,S03/2025/001,16/09/2025,142780,No Action,//,,Invoice
29AAKFK3390B1ZB,S03/2025/002,21/09/2025,126260,Accept,13/10/2025,,Invoice
24AAGCA1188M1ZI,S05/2025/001,11/09/2025,370520,Accept,13/10/2025,,Invoice
24AAGCA1188M1ZI,S05/2025/002,24/09/2025,371700,Accept,13/10/2025,,Invoice
24AAGCA1188M1ZI,S05/2025/003,14/09/2025,377600,No Action,//,,Invoice
27AAJFN2276C1ZC,S07/2025/001,07/09/2025,231280,Pending,13/10/2025,Held pending supplier confirmation,Invoice
27AAJFN2276C1ZC,S07/2025/002,26/09/2025,253700,Pending,13/10/2025,Held pending supplier confirmation,Invoice
24AAECR8890P1ZI,S08/2025/001,11/09/2025,219480,Accept,13/10/2025,,Invoice
24AAECR8890P1ZI,S08/2025/002,18/09/2025,218300,Accept,13/10/2025,,Invoice
27AAFCB2210G1Z8,S12/2025/001,16/09/2025,177000,Accept,13/10/2025,,Invoice
27AAFCB2210G1Z8,S12/2025/002,14/09/2025,186440,Accept,13/10/2025,,Invoice
27AAGFK5561R1ZL,S13/2025/001,02/09/2025,84960,No Action,//,,Invoice
24AAACT3398E1ZE,S14/2025/001,24/09/2025,139240,Accept,13/10/2025,,Invoice
33AAJFL7745T1ZE,S15/2025/001,12/09/2025,47200,Accept,13/10/2025,,Invoice
33AAJFL7745T1ZE,S15/2025/002,11/09/2025,38940,Accept,13/10/2025,,Invoice
33AAJFL7745T1ZE,S15/2025/003,21/09/2025,31860,No Action,//,,Invoice
29AAECO9912W1Z8,S16/2025/001,12/09/2025,71980,Accept,13/10/2025,,Invoice
29AAECO9912W1Z8,S16/2025/002,08/09/2025,67260,Accept,13/10/2025,,Invoice
09AAHFG4423Y1ZH,S17/2025/001,14/09/2025,56640,Accept,13/10/2025,,Invoice
27AAKFP6678U1ZU,S18/2025/002,25/09/2025,164020,No Action,//,,Invoice
27AAKFP6678U1ZU,S18/2025/003,12/09/2025,164020,Accept,13/10/2025,,Invoice
33AABFS2234V1ZT,S19/2025/001,16/09/2025,96760,Accept,13/10/2025,,Invoice
33AABFS2234V1ZT,S19/2025/002,03/09/2025,107380,Accept,13/10/2025,,Invoice
27AAFCA8801X1ZT,S20/2025/001,24/09/2025,133340,Accept,13/10/2025,,Invoice
27AAFCA8801X1ZT,S20/2025/002,26/09/2025,147500,No Action,//,,Invoice
29AADCN3345Z1ZD,S21/2025/001,14/09/2025,188800,Accept,13/10/2025,,Invoice
29AADCN3345Z1ZD,S21/2025/003,25/09/2025,204140,Accept,13/10/2025,,Invoice
27AAGFM1167A1ZO,S22/2025/001,09/09/2025,206500,No Action,//,,Invoice
09AAJFY5523C1Z3,S24/2025/001,13/09/2025,162840,Accept,13/10/2025,,Invoice
09AAJFY5523C1Z3,S24/2025/002,08/09/2025,166380,Accept,13/10/2025,,Invoice
09AAJFY5523C1Z3,S24/2025/003,07/09/2025,158120,Accept,13/10/2025,,Invoice
27AABCZ9934D1Z1,S25/2025/001,17/09/2025,35400,Accept,13/10/2025,,Invoice
