Sharma Enterprises Private Limited
Purchase Register for the period 2025-11
GSTIN: 27AAACB2894G1ZP

Supplier Name,GSTIN,Invoice No,Invoice Date,Taxable Value,CGST,SGST,IGST,Cess,Doc Type,ITC Eligible,Nature of Supply
Mahesh Steel Traders,27AAPFM4821K1ZV,S01/2025/021,16/11/2025,468000,42120,42120,0,0,Invoice,Yes,
Mahesh Steel Traders,27AAPFM4821K1ZV,S01/2025/022,26/11/2025,472000,42480,42480,0,0,Invoice,Yes,
Mahesh Steel Traders,27AAPFM4821K1ZV,S01/2025/023,2025-11-13,471000,42390,42390,0,0,Invoice,Yes,
Precision Components Pvt Ltd,29AADCP7712H1Z9,S02/2025/021,11/11/2025,"2,73,000",0,0,"49,140",0,Invoice,Yes,
Precision Components Pvt Ltd,29AADCP7712H1Z9,S02/2025/022,24/11/2025,264000,0,0,47520,0,Invoice,Yes,
Kaveri Packaging,29AAKFK3390B1ZB,S03/2025/021,17/11/2025,123000,0,0,22140,0,Invoice,Yes,
Kaveri Packaging,29AAKFK3390B1ZB,S03/2025/022,04/11/2025,113000,0,0,20340,0,Invoice,Yes,
Deccan Freight Carriers,36AAECD5567L1Z7,S04/2025/021,21/11/2025,102000,0,0,18360,0,Invoice,Yes,
Deccan Freight Carriers,36AAECD5567L1Z7,S04/2025/022,17/11/2025,103000,0,0,18540,0,Invoice,Yes,
Anand Polymers,24AAGCA1188M1ZI,S05/2025/021,2025-11-19,305000,0,0,54900,0,Invoice,Yes,
Anand Polymers,24AAGCA1188M1ZI,S05/2025/022,23/11/2025,"3,16,000",0,0,"56,880",0,Invoice,Yes,
Anand Polymers,24AAGCA1188M1ZI,S05/2025/023,12/11/2025,308000,0,0,55440,0,Invoice,Yes,
Surya Electricals,27AABFS9034J1ZY,S06/2025/021,09/11/2025,151000,13590,13590,0,0,Invoice,Yes,
Surya Electricals,27AABFS9034J1ZY,S06/2025/022,17/11/2025,132000,11880,11880,0,0,Invoice,Yes,
Nilkanth Traders,27AAJFN2276C1ZC,S07/2025/021,12/11/2025,215000,19350,19350,0,0,Invoice,Yes,
Nilkanth Traders,27AAJFN2276C1ZC,S07/2025/022,21/11/2025,203000,18270,18270,0,0,Invoice,Yes,
Ratna Chemicals,24AAECR8890P1ZI,S08/2025/021,04/11/2025,166000,0,0,29880,0,Invoice,Yes,
Ratna Chemicals,24AAECR8890P1ZI,S08/2025/022,17/11/2025,"1,76,000",0,0,"31,680",0,Invoice,Yes,
Metro Motors,27AAACM6543N1Z3,S09/2025/021,16/11/2025,888000,79920,79920,0,0,Invoice,No,Blocked u/s 17(5) - motor vehicle purchase
Vindhya Alloys,23AAFCV4412Q1Z3,S10/2025/021,21/11/2025,250000,0,0,45000,0,Invoice,Yes,
Vindhya Alloys,23AAFCV4412Q1Z3,S10/2025/022,10/11/2025,264000,0,0,47520,0,Invoice,Yes,
Bharat Office Supplies,27AAFCB2210G1Z8,S12/2025/021,04/11/2025,157000,14130,14130,0,0,Invoice,Yes,
Bharat Office Supplies,27AAFCB2210G1Z8,S12/2025/022,18/11/2025,164000,14760,14760,0,0,Invoice,Yes,
Konkan Hardware,27AAGFK5561R1ZL,S13/2025/021,21/11/2025,85000,7650,7650,0,0,Invoice,Yes,
Trident Paper Mills,24AAACT3398E1ZE,S14/2025/021,26/11/2025,"1,38,000",0,0,"24,840",0,Invoice,Yes,
Lakshmi Fasteners,33AAJFL7745T1ZE,S15/2025/021,22/11/2025,44000,0,0,7920,0,Invoice,Yes,
Lakshmi Fasteners,33AAJFL7745T1ZE,S15/2025/022,13/11/2025,46000,0,0,8280,0,Invoice,Yes,
Lakshmi Fasteners,33AAJFL7745T1ZE,S15/2025/023,22/11/2025,49000,0,0,8820,0,Invoice,Yes,
Orion Software Services,29AAECO9912W1Z8,S16/2025/021,14/11/2025,53000,0,0,9540,0,Invoice,Yes,
Orion Software Services,29AAECO9912W1Z8,S16/2025/022,11/11/2025,60000,0,0,10800,0,Invoice,Yes,
Ganga Textiles,09AAHFG4423Y1ZH,S17/2025/021,22/11/2025,49000,0,0,8820,0,Invoice,Yes,
Pinnacle Safety Gear,27AAKFP6678U1ZU,S18/2025/021,09/11/2025,"1,36,000","12,240","12,240",0,0,Invoice,Yes,
Pinnacle Safety Gear,27AAKFP6678U1ZU,S18/2025/022,25/11/2025,140000,12600,12600,0,0,Invoice,Yes,
Pinnacle Safety Gear,27AAKFP6678U1ZU,S18/2025/023,02/11/2025,137000,12330,12330,0,0,Invoice,Yes,
Sundar Printing Works,33AABFS2234V1ZT,S19/2025/021,08/11/2025,94000,0,0,16920,0,Invoice,Yes,
Sundar Printing Works,33AABFS2234V1ZT,S19/2025/022,07/11/2025,96000,0,0,17280,0,Invoice,Yes,
Ashoka Civil Works,27AAFCA8801X1ZT,S20/2025/021,20/11/2025,134000,12060,12060,0,0,Invoice,Yes,
Ashoka Civil Works,27AAFCA8801X1ZT,S20/2025/022,25/11/2025,135000,12150,12150,0,0,Invoice,Yes,
Nova Instruments,29AADCN3345Z1ZD,S21/2025/021,10/11/2025,"1,67,000",0,0,"30,060",0,Invoice,Yes,
Nova Instruments,29AADCN3345Z1ZD,S21/2025/022,09/11/2025,157000,0,0,28260,0,Invoice,Yes,
Nova Instruments,29AADCN3345Z1ZD,S21/2025/023,04/11/2025,160000,0,0,28800,0,Invoice,Yes,
Meridian Housekeeping,27AAGFM1167A1ZO,S22/2025/021,05/11/2025,187000,16830,16830,0,0,Invoice,Yes,
Coral Adhesives,24AAECC7789B1ZM,S23/2025/021,10/11/2025,150000,0,0,27000,0,Invoice,Yes,
Yamuna Agro Products,09AAJFY5523C1Z3,S24/2025/021,08/11/2025,144000,0,0,25920,0,Invoice,Yes,
Yamuna Agro Products,09AAJFY5523C1Z3,S24/2025/022,13/11/2025,133000,0,0,23940,0,Invoice,Yes,
Yamuna Agro Products,09AAJFY5523C1Z3,S24/2025/023,24/11/2025,"1,42,000",0,0,"25,560",0,Invoice,Yes,
Zenith Tooling,27AABCZ9934D1Z1,S25/2025/021,02/11/2025,43000,3870,3870,0,0,Invoice,Yes,
Grand Total,,,,8763000,388620,388620,800100,0,,,
